GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC05_EST_VC03,HC05_MOE_VC03,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC05_EST_VC06,HC05_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC05_EST_VC07,HC05_MOE_VC07,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC05_EST_VC16,HC05_MOE_VC16,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC05_EST_VC18,HC05_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC05_EST_VC19,HC05_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC05_EST_VC20,HC05_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC05_EST_VC21,HC05_MOE_VC21
610U200US15022,15022,"State Senate District 22 (2010), Hawaii",20205,459,11600,539,890,226,2526,316,5189,407,3.11,0.07,3.71,0.09,3.24,0.34,3.71,0.25,1.46,0.09,15016,482,11600,539,890,226,2526,316,(X),(X),3.58,0.08,3.66,0.09,2.85,0.30,3.46,0.23,(X),(X),20205,459,11600,539,890,226,2526,316,5189,407,45.1,1.8,58.1,2.4,45.7,13.0,74.5,4.7,1.8,1.3,28.0,1.6,24.1,2.1,44.3,12.1,29.5,4.5,33.0,4.0,18.3,1.8,(X),(X),(X),(X),(X),(X),71.2,4.2,5.9,1.0,(X),(X),(X),(X),(X),(X),23.0,3.6
610U200US15023,15023,"State Senate District 23 (2010), Hawaii",13208,358,7585,457,793,150,1994,224,2836,301,3.24,0.09,3.78,0.12,3.79,0.39,3.70,0.31,1.31,0.08,10372,426,7585,457,793,150,1994,224,(X),(X),3.67,0.10,3.74,0.11,3.56,0.37,3.43,0.30,(X),(X),13208,358,7585,457,793,150,1994,224,2836,301,39.1,2.6,47.3,3.3,51.7,12.1,57.3,6.7,0.8,0.8,38.6,2.2,38.9,2.5,36.2,10.1,37.3,7.1,39.4,5.7,16.9,2.1,(X),(X),(X),(X),(X),(X),78.8,4.7,5.7,1.3,(X),(X),(X),(X),(X),(X),26.6,5.1
610U200US15024,15024,"State Senate District 24 (2010), Hawaii",15596,316,10140,479,668,164,1917,243,2871,308,3.04,0.08,3.44,0.09,3.59,0.47,3.49,0.21,1.20,0.06,12725,379,10140,479,668,164,1917,243,(X),(X),3.37,0.08,3.39,0.08,3.24,0.39,3.29,0.19,(X),(X),15596,316,10140,479,668,164,1917,243,2871,308,37.3,2.0,44.8,2.6,37.1,12.1,52.0,6.6,1.0,1.5,41.6,1.6,36.7,2.1,59.3,11.8,47.3,6.0,51.0,6.5,15.5,1.8,(X),(X),(X),(X),(X),(X),84.1,4.3,6.8,1.1,(X),(X),(X),(X),(X),(X),36.9,5.1
610U200US15025,15025,"State Senate District 25 (2010), Hawaii",14384,340,8341,357,956,213,1982,256,3105,346,3.11,0.09,3.52,0.10,3.35,0.31,4.01,0.25,1.35,0.09,11279,376,8341,357,956,213,1982,256,(X),(X),3.47,0.09,3.46,0.10,3.12,0.28,3.68,0.22,(X),(X),14384,340,8341,357,956,213,1982,256,3105,346,35.4,1.9,42.4,2.6,36.7,10.3,57.0,6.4,2.4,2.1,48.1,2.1,47.5,2.5,53.6,10.0,50.2,6.3,46.5,6.4,16.6,1.9,(X),(X),(X),(X),(X),(X),76.8,5.1,6.8,1.2,(X),(X),(X),(X),(X),(X),31.6,5.2
620L200US15001,15001,"State House District 1 (2010), Hawaii",7558,292,3693,286,596,142,1070,143,2199,238,3.02,0.13,3.73,0.19,3.35,0.34,4.01,0.38,1.25,0.07,5359,333,3693,286,596,142,1070,143,(X),(X),3.58,0.15,3.63,0.18,2.93,0.28,3.75,0.36,(X),(X),7558,292,3693,286,596,142,1070,143,2199,238,36.5,2.7,47.1,4.2,53.7,10.5,60.8,8.4,2.0,2.3,44.9,2.9,45.8,4.4,32.7,10.1,38.9,7.6,49.5,5.6,24.3,2.6,(X),(X),(X),(X),(X),(X),83.5,4.3,8.9,1.3,(X),(X),(X),(X),(X),(X),30.5,4.5
620L200US15002,15002,"State House District 2 (2010), Hawaii",9297,427,3716,345,605,239,1281,269,3695,390,2.54,0.14,3.08,0.17,3.77,0.70,3.52,0.41,1.46,0.15,5602,415,3716,345,605,239,1281,269,(X),(X),3.13,0.16,3.05,0.17,3.25,0.58,3.31,0.38,(X),(X),9297,427,3716,345,605,239,1281,269,3695,390,26.6,2.9,34.0,4.9,63.8,14.9,60.3,10.5,1.4,1.1,45.2,3.2,50.1,5.2,16.5,10.8,34.6,9.9,48.7,5.1,31.3,3.5,(X),(X),(X),(X),(X),(X),78.9,5.3,13.2,2.2,(X),(X),(X),(X),(X),(X),33.3,5.5
620L200US15003,15003,"State House District 3 (2010), Hawaii",7830,310,4272,301,459,135,1226,204,1873,270,3.08,0.14,3.60,0.18,3.90,0.49,3.73,0.35,1.26,0.08,5957,306,4272,301,459,135,1226,204,(X),(X),3.55,0.16,3.55,0.17,3.78,0.50,3.48,0.36,(X),(X),7830,310,4272,301,459,135,1226,204,1873,270,34.6,3.0,41.8,3.9,54.9,14.6,52.9,9.6,1.2,1.4,48.0,3.5,48.2,4.1,43.4,13.1,35.0,8.0,57.1,7.1,19.6,2.8,(X),(X),(X),(X),(X),(X),81.9,5.3,9.5,2.0,(X),(X),(X),(X),(X),(X),39.9,6.4
620L200US15004,15004,"State House District 4 (2010), Hawaii",10277,412,4341,538,729,254,1472,343,3735,532,2.78,0.14,3.46,0.23,3.89,0.62,3.86,0.60,1.36,0.09,6542,508,4341,538,729,254,1472,343,(X),(X),3.44,0.17,3.38,0.21,3.48,0.50,3.61,0.55,(X),(X),10277,412,4341,538,729,254,1472,343,3735,532,31.4,3.3,41.6,5.9,62.8,15.2,59.4,13.0,2.4,1.7,41.7,4.3,44.0,6.4,21.5,11.9,34.7,13.8,45.9,7.9,26.3,3.9,(X),(X),(X),(X),(X),(X),72.3,7.1,8.5,2.6,(X),(X),(X),(X),(X),(X),23.3,6.3
620L200US15005,15005,"State House District 5 (2010), Hawaii",9049,346,3986,314,550,143,1158,222,3355,300,2.71,0.12,3.41,0.18,3.21,0.34,4.13,0.54,1.30,0.07,5694,351,3986,314,550,143,1158,222,(X),(X),3.38,0.18,3.36,0.17,2.95,0.31,3.68,0.52,(X),(X),9049,346,3986,314,550,143,1158,222,3355,300,30.0,3.1,41.3,5.2,43.5,13.1,66.8,9.5,1.6,1.1,38.6,3.1,33.8,4.7,37.5,11.5,35.7,8.5,45.6,5.5,29.0,2.7,(X),(X),(X),(X),(X),(X),78.2,4.4,9.0,2.0,(X),(X),(X),(X),(X),(X),24.4,5.1
620L200US15006,15006,"State House District 6 (2010), Hawaii",10673,485,4972,398,607,221,1372,326,3722,432,2.69,0.13,3.20,0.17,4.91,0.70,3.69,0.35,1.27,0.09,6951,414,4972,398,607,221,1372,326,(X),(X),3.27,0.14,3.12,0.16,4.13,0.78,3.46,0.34,(X),(X),10673,485,4972,398,607,221,1372,326,3722,432,26.6,3.6,31.8,4.9,57.3,16.0,64.1,11.0,0.9,1.5,41.3,3.8,48.0,5.1,30.0,13.3,24.2,7.5,40.6,7.5,27.9,3.1,(X),(X),(X),(X),(X),(X),80.1,5.8,7.3,1.5,(X),(X),(X),(X),(X),(X),21.0,4.3
620L200US15007,15007,"State House District 7 (2010), Hawaii",9586,414,5168,455,720,235,1019,226,2679,414,2.86,0.14,3.34,0.19,3.68,0.53,3.68,0.40,1.40,0.12,6907,450,5168,455,720,235,1019,226,(X),(X),3.25,0.16,3.28,0.18,2.81,0.51,3.43,0.40,(X),(X),9586,414,5168,455,720,235,1019,226,2679,414,35.7,4.0,43.9,5.4,60.6,20.2,65.1,11.9,1.9,2.5,32.8,3.1,32.7,3.9,20.1,13.7,20.9,8.9,40.9,6.8,19.9,3.5,(X),(X),(X),(X),(X),(X),71.2,6.7,5.3,1.5,(X),(X),(X),(X),(X),(X),19.0,4.8
620L200US15008,15008,"State House District 8 (2010), Hawaii",8339,334,4765,297,431,136,1094,236,2049,285,3.28,0.13,4.05,0.19,3.31,0.39,3.67,0.38,1.27,0.10,6290,409,4765,297,431,136,1094,236,(X),(X),3.79,0.17,3.98,0.18,2.91,0.35,3.31,0.34,(X),(X),8339,334,4765,297,431,136,1094,236,2049,285,42.0,4.1,53.0,5.3,55.0,16.7,66.5,9.4,0.6,0.9,34.5,2.9,32.4,3.8,28.1,13.0,33.4,10.1,41.1,6.9,19.4,3.0,(X),(X),(X),(X),(X),(X),78.9,6.8,5.3,1.5,(X),(X),(X),(X),(X),(X),21.8,6.0
620L200US15009,15009,"State House District 9 (2010), Hawaii",7589,339,3968,296,610,198,1216,235,1795,268,3.41,0.18,4.06,0.24,4.44,0.67,3.97,0.39,1.24,0.14,5794,337,3968,296,610,198,1216,235,(X),(X),3.85,0.19,3.94,0.24,3.77,0.50,3.58,0.31,(X),(X),7589,339,3968,296,610,198,1216,235,1795,268,39.9,3.2,47.1,4.8,68.9,15.4,60.6,10.1,0.0,1.8,46.0,4.1,46.7,5.7,30.3,14.3,39.1,9.1,54.4,8.4,20.1,3.2,(X),(X),(X),(X),(X),(X),85.0,7.4,11.5,2.2,(X),(X),(X),(X),(X),(X),48.8,8.1
620L200US15010,15010,"State House District 10 (2010), Hawaii",8349,424,3582,353,383,155,809,186,3575,427,2.67,0.14,3.51,0.22,3.48,0.60,3.93,0.58,1.44,0.12,4774,358,3582,353,383,155,809,186,(X),(X),3.40,0.18,3.44,0.21,3.09,0.56,3.37,0.43,(X),(X),8349,424,3582,353,383,155,809,186,3575,427,26.7,3.6,40.8,5.8,38.1,24.6,75.9,9.2,0.3,0.4,36.0,3.2,43.5,5.4,19.1,11.5,25.6,9.4,32.7,5.5,33.6,4.1,(X),(X),(X),(X),(X),(X),78.4,5.4,6.1,1.6,(X),(X),(X),(X),(X),(X),14.3,3.8
620L200US15011,15011,"State House District 11 (2010), Hawaii",10027,396,4800,383,197,120,1200,255,3830,407,2.50,0.12,3.02,0.15,4.14,1.58,3.78,0.71,1.36,0.08,6197,422,4800,383,197,120,1200,255,(X),(X),3.05,0.17,2.96,0.15,2.89,0.71,3.42,0.66,(X),(X),10027,396,4800,383,197,120,1200,255,3830,407,28.1,3.4,38.2,5.2,80.7,22.5,68.2,10.4,0.3,0.4,34.7,3.0,39.1,4.9,17.3,19.6,38.5,12.2,28.9,5.3,27.8,3.1,(X),(X),(X),(X),(X),(X),72.8,6.1,6.7,1.5,(X),(X),(X),(X),(X),(X),17.4,4.0
620L200US15012,15012,"State House District 12 (2010), Hawaii",9202,374,5062,377,483,172,1086,250,2571,384,2.87,0.13,3.35,0.16,3.99,0.51,3.78,0.47,1.32,0.11,6631,348,5062,377,483,172,1086,250,(X),(X),3.32,0.15,3.29,0.15,3.33,0.50,3.46,0.47,(X),(X),9202,374,5062,377,483,172,1086,250,2571,384,36.8,4.0,43.8,5.8,76.2,12.9,69.0,11.1,2.0,2.7,35.2,3.2,35.6,4.5,30.4,14.1,27.3,10.7,38.9,7.8,21.5,3.4,(X),(X),(X),(X),(X),(X),77.0,6.3,6.9,1.8,(X),(X),(X),(X),(X),(X),24.5,6.1
620L200US15013,15013,"State House District 13 (2010), Hawaii",8605,348,4233,419,628,190,1083,195,2661,347,2.79,0.12,3.31,0.19,3.55,0.47,3.81,0.32,1.36,0.14,5944,395,4233,419,628,190,1083,195,(X),(X),3.26,0.16,3.25,0.19,2.86,0.43,3.52,0.34,(X),(X),8605,348,4233,419,628,190,1083,195,2661,347,37.3,3.9,45.3,5.5,76.1,12.5,67.6,11.9,3.1,2.9,36.2,3.3,38.8,5.2,33.3,15.2,29.5,7.7,35.4,7.3,24.3,3.3,(X),(X),(X),(X),(X),(X),78.7,7.7,6.9,1.6,(X),(X),(X),(X),(X),(X),22.2,4.7
620L200US15014,15014,"State House District 14 (2010), Hawaii",7479,362,3818,305,511,154,899,207,2251,279,3.03,0.13,3.60,0.19,4.12,0.57,3.90,0.40,1.46,0.13,5228,327,3818,305,511,154,899,207,(X),(X),3.53,0.16,3.48,0.18,3.82,0.56,3.55,0.36,(X),(X),7479,362,3818,305,511,154,899,207,2251,279,36.8,3.6,46.4,5.5,57.7,14.5,65.5,11.2,4.3,3.5,39.4,3.1,36.5,4.9,43.1,14.4,41.8,11.9,42.6,5.8,22.0,2.9,(X),(X),(X),(X),(X),(X),73.0,6.2,8.7,2.0,(X),(X),(X),(X),(X),(X),28.8,6.0
620L200US15015,15015,"State House District 15 (2010), Hawaii",7595,375,4482,349,279,97,612,146,2222,320,3.00,0.14,3.75,0.19,3.17,0.39,3.58,0.56,1.30,0.09,5373,378,4482,349,279,97,612,146,(X),(X),3.57,0.17,3.64,0.19,2.86,0.36,3.38,0.54,(X),(X),7595,375,4482,349,279,97,612,146,2222,320,31.7,3.7,42.4,5.1,55.2,17.1,55.7,13.5,0.5,0.5,43.3,3.0,42.3,3.9,41.6,15.0,34.2,10.4,48.1,7.2,22.2,3.6,(X),(X),(X),(X),(X),(X),76.0,7.3,9.7,2.2,(X),(X),(X),(X),(X),(X),33.3,6.5
620L200US15016,15016,"State House District 16 (2010), Hawaii",6810,299,3565,236,440,156,916,188,1889,220,2.92,0.14,3.31,0.16,3.56,0.50,4.45,0.60,1.29,0.08,4921,315,3565,236,440,156,916,188,(X),(X),3.43,0.16,3.26,0.16,3.19,0.47,4.18,0.57,(X),(X),6810,299,3565,236,440,156,916,188,1889,220,33.3,3.0,38.0,4.3,77.5,9.8,61.4,10.0,0.6,1.0,42.9,2.9,43.6,3.9,31.8,10.7,45.6,7.9,42.9,6.1,21.9,2.9,(X),(X),(X),(X),(X),(X),78.8,6.1,8.3,1.7,(X),(X),(X),(X),(X),(X),29.9,6.3
620L200US15017,15017,"State House District 17 (2010), Hawaii",8857,197,5943,308,391,146,765,145,1758,253,2.80,0.07,3.20,0.08,2.90,0.43,3.02,0.23,1.32,0.12,7099,290,5943,308,391,146,765,145,(X),(X),3.11,0.07,3.16,0.08,2.72,0.32,2.94,0.21,(X),(X),8857,197,5943,308,391,146,765,145,1758,253,33.5,2.4,43.8,3.2,11.0,8.0,40.7,10.2,0.6,0.9,45.1,2.5,42.3,3.1,53.7,16.0,59.6,10.3,46.4,7.2,14.9,2.5,(X),(X),(X),(X),(X),(X),75.3,7.3,5.5,1.7,(X),(X),(X),(X),(X),(X),27.5,7.3
620L200US15018,15018,"State House District 18 (2010), Hawaii",7668,244,4713,275,409,125,760,180,1786,217,2.81,0.08,3.21,0.10,3.24,0.36,3.45,0.29,1.39,0.14,5882,271,4713,275,409,125,760,180,(X),(X),3.20,0.09,3.19,0.10,3.10,0.36,3.25,0.26,(X),(X),7668,244,4713,275,409,125,760,180,1786,217,29.7,2.5,37.6,3.6,38.6,15.8,43.7,12.0,0.9,1.4,56.1,2.9,54.2,3.9,73.6,14.3,46.8,11.7,61.3,6.2,17.8,2.3,(X),(X),(X),(X),(X),(X),76.4,6.7,9.7,1.9,(X),(X),(X),(X),(X),(X),41.5,6.5
620L200US15019,15019,"State House District 19 (2010), Hawaii",7893,219,4536,261,411,145,943,158,2003,212,2.84,0.08,3.38,0.10,3.07,0.28,3.22,0.24,1.40,0.10,5890,271,4536,261,411,145,943,158,(X),(X),3.26,0.09,3.37,0.10,2.54,0.26,3.04,0.21,(X),(X),7893,219,4536,261,411,145,943,158,2003,212,29.6,2.1,42.7,3.0,26.5,11.8,29.3,7.8,0.8,0.9,53.8,2.7,50.7,3.7,52.1,16.1,72.6,7.6,52.3,6.3,18.5,2.4,(X),(X),(X),(X),(X),(X),73.1,6.2,9.7,1.7,(X),(X),(X),(X),(X),(X),38.4,6.0
620L200US15020,15020,"State House District 20 (2010), Hawaii",7875,221,3619,253,498,122,1026,167,2732,276,2.86,0.11,3.71,0.18,3.75,0.52,3.28,0.27,1.40,0.09,5143,278,3619,253,498,122,1026,167,(X),(X),3.54,0.14,3.64,0.18,3.51,0.53,3.18,0.28,(X),(X),7875,221,3619,253,498,122,1026,167,2732,276,24.5,2.6,38.9,4.0,43.4,13.2,30.3,8.0,0.0,1.2,51.7,2.8,51.7,4.0,67.5,13.5,64.6,8.3,43.9,6.1,24.8,2.8,(X),(X),(X),(X),(X),(X),71.6,4.9,12.0,2.2,(X),(X),(X),(X),(X),(X),34.6,5.3
620L200US15021,15021,"State House District 21 (2010), Hawaii",11500,389,4080,368,385,125,1027,226,6008,405,2.13,0.08,3.12,0.15,3.29,0.34,2.86,0.29,1.25,0.06,5492,331,4080,368,385,125,1027,226,(X),(X),2.99,0.11,3.08,0.14,2.64,0.26,2.76,0.25,(X),(X),11500,389,4080,368,385,125,1027,226,6008,405,18.3,2.0,36.9,4.6,38.2,14.8,43.7,11.7,0.1,0.2,40.1,2.7,48.3,4.1,31.7,15.4,44.6,10.2,34.2,3.9,42.8,3.0,(X),(X),(X),(X),(X),(X),82.0,3.7,11.7,1.8,(X),(X),(X),(X),(X),(X),22.5,3.1
620L200US15022,15022,"State House District 22 (2010), Hawaii",12472,325,3339,318,498,174,1198,259,7437,453,1.90,0.07,2.79,0.13,3.11,0.61,2.70,0.17,1.29,0.07,5035,383,3339,318,498,174,1198,259,(X),(X),2.75,0.10,2.78,0.12,2.99,0.57,2.55,0.15,(X),(X),12472,325,3339,318,498,174,1198,259,7437,453,15.1,1.7,32.6,5.4,43.0,18.6,43.0,10.7,0.8,0.8,35.1,2.2,36.4,5.9,54.4,18.2,35.3,10.7,33.1,3.4,47.5,3.6,(X),(X),(X),(X),(X),(X),79.6,4.4,13.7,2.0,(X),(X),(X),(X),(X),(X),22.9,3.0
620L200US15023,15023,"State House District 23 (2010), Hawaii",14622,536,4245,391,321,172,1038,240,9018,579,1.80,0.08,2.58,0.13,2.75,0.41,2.63,0.20,1.30,0.07,5604,419,4245,391,321,172,1038,240,(X),(X),2.54,0.11,2.55,0.12,2.44,0.27,2.53,0.20,(X),(X),14622,536,4245,391,321,172,1038,240,9018,579,13.0,2.0,27.0,5.1,54.2,19.6,51.3,12.3,0.6,0.8,35.5,2.5,44.5,5.8,48.0,22.9,22.3,9.7,32.4,3.1,49.3,3.0,(X),(X),(X),(X),(X),(X),80.0,3.7,13.4,1.6,(X),(X),(X),(X),(X),(X),21.7,2.5
620L200US15024,15024,"State House District 24 (2010), Hawaii",8040,237,3926,281,275,116,879,180,2960,256,2.58,0.11,3.21,0.12,3.03,0.51,3.77,0.44,1.35,0.09,5080,256,3926,281,275,116,879,180,(X),(X),3.22,0.12,3.19,0.12,2.92,0.48,3.40,0.36,(X),(X),8040,237,3926,281,275,116,879,180,2960,256,23.1,2.6,34.4,3.8,21.8,16.0,50.7,12.3,0.0,1.1,48.2,2.8,50.9,3.6,70.2,18.5,64.4,10.5,37.8,5.8,28.3,2.8,(X),(X),(X),(X),(X),(X),76.9,5.1,9.5,1.8,(X),(X),(X),(X),(X),(X),25.7,4.5
620L200US15025,15025,"State House District 25 (2010), Hawaii",12135,316,4171,406,366,133,1247,227,6351,453,2.09,0.08,3.05,0.13,3.39,0.47,2.73,0.25,1.25,0.05,5784,402,4171,406,366,133,1247,227,(X),(X),2.93,0.12,3.03,0.13,2.88,0.33,2.60,0.21,(X),(X),12135,316,4171,406,366,133,1247,227,6351,453,19.9,2.6,37.2,4.9,58.7,18.2,49.2,9.2,0.5,0.6,35.2,2.7,34.8,4.5,40.7,18.2,34.6,9.5,35.2,4.2,42.4,3.3,(X),(X),(X),(X),(X),(X),81.0,3.1,13.0,1.9,(X),(X),(X),(X),(X),(X),24.9,3.6
620L200US15026,15026,"State House District 26 (2010), Hawaii",10288,334,3623,387,637,187,1362,244,4666,362,2.36,0.09,3.19,0.15,2.99,0.33,3.47,0.26,1.31,0.09,5622,357,3623,387,637,187,1362,244,(X),(X),3.11,0.12,3.14,0.14,2.87,0.30,3.14,0.26,(X),(X),10288,334,3623,387,637,187,1362,244,4666,362,22.5,2.6,35.0,4.7,34.7,13.8,60.2,10.0,0.1,0.2,43.4,2.9,43.8,5.5,55.6,14.9,38.6,9.4,42.9,4.8,35.7,3.3,(X),(X),(X),(X),(X),(X),78.7,4.7,13.1,2.3,(X),(X),(X),(X),(X),(X),28.9,4.5
620L200US15027,15027,"State House District 27 (2010), Hawaii",7423,253,3807,252,453,128,1089,172,2074,225,3.04,0.14,3.80,0.17,3.58,0.69,3.64,0.34,1.22,0.08,5349,280,3807,252,453,128,1089,172,(X),(X),3.61,0.14,3.74,0.16,3.01,0.32,3.41,0.31,(X),(X),7423,253,3807,252,453,128,1089,172,2074,225,31.6,3.0,44.8,4.3,49.9,14.0,32.9,7.2,2.5,2.7,56.8,3.3,50.7,4.4,54.7,13.0,67.4,7.2,62.7,6.3,24.5,2.8,(X),(X),(X),(X),(X),(X),87.5,3.9,14.4,2.4,(X),(X),(X),(X),(X),(X),51.5,6.1
620L200US15028,15028,"State House District 28 (2010), Hawaii",11897,340,4155,361,464,133,1361,253,5917,352,2.16,0.07,3.16,0.13,2.67,0.32,3.17,0.29,1.20,0.04,5980,327,4155,361,464,133,1361,253,(X),(X),3.07,0.09,3.13,0.12,2.62,0.31,3.02,0.25,(X),(X),11897,340,4155,361,464,133,1361,253,5917,352,18.3,1.7,37.6,3.9,12.1,8.0,41.3,8.6,0.0,0.5,43.2,2.8,40.2,4.5,67.0,13.1,38.6,8.4,44.5,3.8,41.7,2.4,(X),(X),(X),(X),(X),(X),83.9,2.7,15.2,1.9,(X),(X),(X),(X),(X),(X),30.5,3.8
620L200US15029,15029,"State House District 29 (2010), Hawaii",5363,191,2472,236,519,162,1427,210,945,164,4.38,0.20,5.14,0.26,4.87,0.94,4.78,0.45,1.53,0.19,4418,222,2472,236,519,162,1427,210,(X),(X),4.70,0.23,4.89,0.26,4.42,0.98,4.46,0.46,(X),(X),5363,191,2472,236,519,162,1427,210,945,164,51.5,3.1,63.2,5.1,50.7,15.5,61.8,7.9,5.6,4.5,49.1,4.2,48.8,5.8,62.2,13.7,45.3,8.2,48.7,8.8,12.8,2.2,(X),(X),(X),(X),(X),(X),72.4,7.6,5.3,1.5,(X),(X),(X),(X),(X),(X),29.8,7.7
620L200US15030,15030,"State House District 30 (2010), Hawaii",5203,224,2589,246,553,134,1331,233,730,146,4.33,0.19,4.92,0.26,4.39,0.48,4.70,0.37,1.48,0.18,4473,239,2589,246,553,134,1331,233,(X),(X),4.48,0.20,4.70,0.24,3.97,0.56,4.26,0.41,(X),(X),5203,224,2589,246,553,134,1331,233,730,146,49.7,3.9,58.2,6.2,42.9,14.6,62.1,6.8,1.9,2.1,55.8,4.5,54.2,6.2,45.6,14.3,61.8,9.0,58.2,11.7,10.4,2.7,(X),(X),(X),(X),(X),(X),74.4,8.7,5.2,1.7,(X),(X),(X),(X),(X),(X),37.4,10.2
620L200US15031,15031,"State House District 31 (2010), Hawaii",8716,251,4531,298,371,144,1154,193,2660,295,2.63,0.10,3.30,0.16,3.09,0.45,3.25,0.25,1.16,0.05,6056,269,4531,298,371,144,1154,193,(X),(X),3.22,0.12,3.28,0.16,2.89,0.34,3.11,0.24,(X),(X),8716,251,4531,298,371,144,1154,193,2660,295,28.4,3.1,36.2,4.8,52.8,16.4,55.6,11.2,0.0,1.2,41.5,3.0,46.2,4.1,59.6,18.0,45.1,12.2,29.4,6.2,26.0,2.9,(X),(X),(X),(X),(X),(X),85.1,4.8,6.6,1.6,(X),(X),(X),(X),(X),(X),21.7,5.2
620L200US15032,15032,"State House District 32 (2010), Hawaii",13086,328,8544,387,649,173,1223,193,2670,317,3.22,0.09,3.68,0.10,3.89,0.68,4.00,0.55,1.24,0.08,10416,401,8544,387,649,173,1223,193,(X),(X),3.67,0.11,3.66,0.10,3.63,0.59,3.76,0.46,(X),(X),13086,328,8544,387,649,173,1223,193,2670,317,49.9,2.3,61.9,2.7,60.4,11.9,68.7,8.7,0.3,0.5,22.7,2.0,19.1,2.2,41.6,11.6,33.1,8.1,24.8,6.4,16.8,2.0,(X),(X),(X),(X),(X),(X),82.2,4.7,2.6,0.8,(X),(X),(X),(X),(X),(X),12.5,4.2
620L200US15033,15033,"State House District 33 (2010), Hawaii",7682,247,4189,285,658,179,878,151,1957,239,2.92,0.11,3.45,0.16,3.42,0.41,3.49,0.26,1.35,0.12,5725,278,4189,285,658,179,878,151,(X),(X),3.34,0.13,3.40,0.15,2.95,0.34,3.32,0.27,(X),(X),7682,247,4189,285,658,179,878,151,1957,239,34.8,3.5,44.1,5.0,57.6,12.1,51.1,9.8,0.0,1.6,45.7,3.1,47.5,4.7,35.3,12.9,60.5,10.4,38.8,6.2,19.1,2.8,(X),(X),(X),(X),(X),(X),75.2,6.5,6.3,1.7,(X),(X),(X),(X),(X),(X),24.8,5.5
620L200US15034,15034,"State House District 34 (2010), Hawaii",7504,176,4859,242,395,121,808,183,1442,199,3.00,0.10,3.38,0.11,3.54,0.36,3.51,0.47,1.25,0.09,6062,229,4859,242,395,121,808,183,(X),(X),3.35,0.11,3.36,0.11,3.17,0.45,3.33,0.45,(X),(X),7504,176,4859,242,395,121,808,183,1442,199,36.5,2.9,41.7,3.3,67.1,14.3,55.8,11.2,0.0,2.2,44.6,2.9,42.7,3.7,52.9,18.9,40.5,11.7,51.0,7.9,15.3,2.2,(X),(X),(X),(X),(X),(X),79.5,7.3,6.8,1.4,(X),(X),(X),(X),(X),(X),35.6,7.3
620L200US15035,15035,"State House District 35 (2010), Hawaii",5703,243,3368,289,476,146,824,174,1035,194,4.42,0.22,5.11,0.28,5.93,1.23,4.80,0.63,1.19,0.09,4668,251,3368,289,476,146,824,174,(X),(X),4.74,0.20,4.78,0.25,5.10,1.08,4.38,0.59,(X),(X),5703,243,3368,289,476,146,824,174,1035,194,45.9,4.0,54.3,5.4,64.7,13.9,57.3,10.5,0.7,1.1,55.8,3.5,53.4,4.9,58.6,16.4,56.1,12.8,62.2,9.8,15.2,2.6,(X),(X),(X),(X),(X),(X),84.0,8.0,8.7,1.9,(X),(X),(X),(X),(X),(X),48.2,9.2
